id,marka,seri,trim,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,degisen_sayisi,boyali_sayisi,kimden,fiyat,model_tam
1,Lexus,ES,300h Business Plus,2023.0,43000.0,Otomatik,Benzin,Sedan,Siyah,2250.0,213.0,1.0,1.0,Galeriden,4950000.0,ES 300h Business Plus
2,Lexus,GS,200t Luxury,2023.0,25000.0,Otomatik,Benzin,Hatchback/5,Mavi,,213.0,1.0,0.0,Galeriden,1265000.0,GS 200t Luxury
3,Lexus,LS,500h Exclusive,2021.0,23665.0,Otomatik,Benzin,Sedan,Siyah,3250.0,363.0,0.0,0.0,Galeriden,9000000.0,LS 500h Exclusive
4,Kuba,City,,2024.0,0.0,Otomatik,Elektrik,Hatchback/3,Kahverengi,,50.0,0.0,0.0,Galeriden,279999.0,City
5,Lexus,GS,200t F Sport,2016.0,90500.0,Otomatik,Benzin,Sedan,Beyaz,1900.0,238.0,0.0,0.0,Galeriden,2745000.0,GS 200t F Sport
6,Infiniti,I30,3.0,1996.0,230000.0,Otomatik,LPG & Benzin,Sedan,Yeşil,2988.0,190.0,,,Sahibinden,225000.0,I30 3.0
7,Infiniti,I30,3.0,1996.0,298000.0,Otomatik,LPG & Benzin,Sedan,Yeşil,2988.0,190.0,0.0,7.0,Sahibinden,475000.0,I30 3.0
8,Infiniti,Q50,2.0,2016.0,150000.0,Otomatik,Benzin,Sedan,Beyaz,1900.0,213.0,0.0,0.0,Galeriden,1950000.0,Q50 2.0
9,Ikco,Samand,1.6 LX,2008.0,310000.0,Düz,Benzin,Sedan,Bej,1587.0,106.0,,,Sahibinden,250000.0,Samand 1.6 LX
10,Ikco,Samand,1.6 LX,2008.0,275000.0,Düz,Benzin,Sedan,Gri,1500.0,113.0,0.0,0.0,Galeriden,262000.0,Samand 1.6 LX
11,Infiniti,M,M30d,2012.0,201000.0,Otomatik,Benzin,Sedan,Siyah,2750.0,238.0,0.0,0.0,Galeriden,1450000.0,M M30d
12,Buick,Regal,3.1,1991.0,95000.0,Otomatik,Benzin,Sedan,Beyaz,3250.0,213.0,0.0,0.0,Galeriden,950000.0,Regal 3.1
13,Infiniti,G,G37 GT,2011.0,157940.0,Otomatik,Benzin,Cabrio,Yeşil,3750.0,313.0,0.0,12.0,Galeriden,1499000.0,G G37 GT
14,Infiniti,Q60,2.0,2017.0,148000.0,Otomatik,Benzin,Coupe,Füme,1900.0,213.0,0.0,4.0,Galeriden,2260060.0,Q60 2.0
