konum,fiyat,marka,seri,trim,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,ortalama_yakit_tuketimi,yakit_deposu,tramer,degisen,boyali,model_tam
 Adana,1169000.0,Renault,Megane,1.3 TCe Joy Comfort,2022,124000.0,Otomatik,Benzin,Sedan,1201.0,126.0,Önden Çekiş,5.3,50.0,71300.0,1,0,Megane 1.3 TCe Joy Comfort
 Adana,1520000.0,Skoda,Octavia,1.0 e-Tec Elite,2022,99000.0,Otomatik,Hibrit,Sedan,1201.0,101.0,Önden Çekiş,4.3,48.0,56060.0,0,1,Octavia 1.0 e-Tec Elite
 Adana,469999.0,Peugeot,207,1.4 Trendy,2009,207500.0,Düz,LPG & Benzin,Hatchback/5,1360.0,91.0,Önden Çekiş,6.3,50.0,0.0,0,0,207 1.4 Trendy
 Adana,1150000.0,Audi,A4,A4 Sedan 2.0 TDI Quattro,2013,219000.0,Otomatik,Dizel,Sedan,1801.0,176.0,4WD (Sürekli),5.1,63.0,0.0,1,4,A4 A4 Sedan 2.0 TDI Quattro
 Adana,1430000.0,Toyota,Corolla,1.5 Dream,2021,63000.0,Otomatik,Benzin,Sedan,1490.0,125.0,Önden Çekiş,5.8,50.0,0.0,0,0,Corolla 1.5 Dream
 Adana,375000.0,Peugeot,206,1.6 CC,2003,249000.0,Düz,Benzin,-,1587.0,110.0,Önden Çekiş,6.9,47.0,0.0,0,0,206 1.6 CC
 Adana,456000.0,Peugeot,207,1.4 HDi Trendy,2007,226000.0,Düz,Dizel,Hatchback/3,1398.0,69.0,Önden Çekiş,4.5,50.0,0.0,0,1,207 1.4 HDi Trendy
 Adana,1465000.0,Toyota,Corolla,1.5 Dream,2021,18000.0,Otomatik,Benzin,Sedan,1401.0,101.0,Önden Çekiş,5.8,50.0,0.0,0,0,Corolla 1.5 Dream
 Adana,975000.0,Volkswagen,Golf,1.4 TSi Highline,2013,228000.0,Yarı Otomatik,Benzin,Hatchback/5,1395.0,122.0,Önden Çekiş,5.0,50.0,4.0,1,1,Golf 1.4 TSi Highline
 Adana,814900.0,Fiat,Egea,1.4 Fire Urban Plus,2020,39000.0,Düz,Benzin,Sedan,1368.0,95.0,Önden Çekiş,5.7,45.0,0.0,0,0,Egea 1.4 Fire Urban Plus
 Adana,785000.0,Volkswagen,Golf,1.4 TSi Trendline,2011,245000.0,Düz,LPG & Benzin,Hatchback/5,1390.0,122.0,Önden Çekiş,6.2,55.0,0.0,1,0,Golf 1.4 TSi Trendline
 Adana,352500.0,Honda,Civic,1.4 i S,1999,325000.0,Düz,Benzin,Sedan,1396.0,90.0,Önden Çekiş,6.8,45.0,0.0,1,0,Civic 1.4 i S
 Adana,1115000.0,BMW,3 Serisi,320i ED M Plus,2014,238000.0,Otomatik,Benzin,Sedan,1598.0,170.0,Arkadan İtiş,5.3,60.0,0.0,0,0,3 Serisi 320i ED M Plus
 Adana,1385000.0,Renault,Clio,1.0 TCe Techno Esprit Alpine,2024,9200.0,Otomatik,Benzin,Hatchback/5,1200.0,76.0,Önden Çekiş,6.0,42.0,0.0,0,0,Clio 1.0 TCe Techno Esprit Alpine
 Adana,1580000.0,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2019,83000.0,Otomatik,Dizel,Hatchback/5,1401.0,101.0,Önden Çekiş,3.9,50.0,0.0,0,0,Golf 1.6 TDi BlueMotion Comfortline
 Adana,1069500.0,BMW,3 Serisi,320d Techno Plus,2012,297000.0,Otomatik,Dizel,Sedan,1995.0,184.0,Arkadan İtiş,4.4,57.0,40.0,0,0,3 Serisi 320d Techno Plus
 Adana,585000.0,Renault,Symbol,1.5 dCi Joy,2015,250000.0,Düz,Dizel,Sedan,1461.0,90.0,Önden Çekiş,3.9,50.0,0.0,1,3,Symbol 1.5 dCi Joy
 Adana,1235000.0,BMW,3 Serisi,320i ED M Plus,2016,230000.0,Otomatik,Benzin,Sedan,1401.0,151.0,Arkadan İtiş,5.3,60.0,74940.0,3,1,3 Serisi 320i ED M Plus
 Adana,246900.0,Peugeot,106,GTI,1998,250000.0,Düz,Benzin,Hatchback/3,1587.0,120.0,Önden Çekiş,8.1,45.0,0.0,0,0,106 GTI
 Adana,585000.0,Ford,Focus,1.6 TDCi Trend,2009,237000.0,Düz,Dizel,Sedan,1560.0,110.0,Önden Çekiş,4.5,55.0,0.0,0,4,Focus 1.6 TDCi Trend
 Adana,1150000.0,Renault,Megane,1.5 Blue DCI Icon,2019,314000.0,Yarı Otomatik,Dizel,Sedan,1461.0,115.0,Önden Çekiş,4.2,49.0,0.0,0,0,Megane 1.5 Blue DCI Icon
 Adana,105000.0,Lada,Samara,1.5,1993,163000.0,Düz,LPG & Benzin,Hatchback/5,1499.0,68.0,Önden Çekiş,7.3,45.0,0.0,0,0,Samara 1.5
 Adana,489000.0,Renault,Megane,1.5 dCi Dynamique,2006,217000.0,Düz,Dizel,Sedan,1461.0,100.0,Önden Çekiş,4.9,60.0,0.0,2,2,Megane 1.5 dCi Dynamique
 Adana,765000.0,Peugeot,508,1.6 e-HDi Active,2013,194500.0,Yarı Otomatik,Dizel,Sedan,1560.0,117.0,Önden Çekiş,4.0,72.0,0.0,2,2,508 1.6 e-HDi Active
 Adana,350000.0,Chevrolet,Aveo,1.4 S,2006,217000.0,Düz,LPG & Benzin,Sedan,1399.0,94.0,Önden Çekiş,6.7,45.0,0.0,0,0,Aveo 1.4 S
 Adana,560000.0,Opel,Insignia,1.6 T Edition Elegance,2010,290000.0,Düz,Benzin,Sedan,1598.0,180.0,Önden Çekiş,7.7,70.0,0.0,1,3,Insignia 1.6 T Edition Elegance
 Adana,565000.0,Honda,Civic,1.6 i-VTEC LS,2006,220000.0,Düz,Benzin,Sedan,1590.0,110.0,Önden Çekiş,6.5,50.0,6500.0,2,2,Civic 1.6 i-VTEC LS
 Adana,690000.0,Opel,Astra,1.6 Edition Plus,2016,183000.0,Düz,LPG & Benzin,Sedan,1598.0,115.0,Önden Çekiş,6.5,56.0,0.0,0,0,Astra 1.6 Edition Plus
 Adana,335000.0,Hyundai,Accent Era,1.4 Team,2009,390000.0,Düz,Benzin,Sedan,1201.0,76.0,Önden Çekiş,6.5,45.0,2.0,0,9,Accent Era 1.4 Team
 Adana,1100000.0,Hyundai,i20,1.4 MPI Style,2018,67000.0,Otomatik,Benzin,Hatchback/5,1368.0,100.0,Önden Çekiş,6.4,50.0,0.0,0,3,i20 1.4 MPI Style
 Adana,1140000.0,Audi,A3,A3 Sedan 1.6 TDI Ambiente,2016,307000.0,Yarı Otomatik,Dizel,Sedan,1598.0,110.0,Önden Çekiş,3.9,50.0,0.0,0,1,A3 A3 Sedan 1.6 TDI Ambiente
 Adana,310000.0,Peugeot,107,1.4 HDi Trendy,2008,205000.0,Düz,Dizel,Hatchback/5,1398.0,55.0,Önden Çekiş,4.1,35.0,0.0,0,0,107 1.4 HDi Trendy
 Adana,760000.0,Volkswagen,Polo,1.0 Trendline,2017,78000.0,Düz,Benzin,Hatchback/5,999.0,75.0,Önden Çekiş,5.1,45.0,0.0,0,0,Polo 1.0 Trendline
 Adana,1260000.0,Volkswagen,Golf,1.5 TSi Highline,2019,158000.0,Yarı Otomatik,Benzin,Hatchback/5,1498.0,150.0,Önden Çekiş,5.1,50.0,0.0,0,6,Golf 1.5 TSi Highline
 Adana,480000.0,Ford,Focus,1.6 TDCi Style,2011,272000.0,Düz,Dizel,Sedan,1560.0,115.0,Önden Çekiş,4.2,53.0,0.0,1,12,Focus 1.6 TDCi Style
 Adana,1925000.0,Mercedes-Benz,E,250 CDI Elite,2015,316000.0,Otomatik,Dizel,Sedan,2143.0,204.0,4WD (Sürekli),5.7,59.0,0.0,0,0,E 250 CDI Elite
 Adana,1250000.0,Renault,Clio,1.0 TCe Evolution,2024,8300.0,Otomatik,Benzin,Hatchback/5,999.0,90.0,Önden Çekiş,6.0,42.0,0.0,0,0,Clio 1.0 TCe Evolution
 Adana,395000.0,Fiat,Linea,1.3 Multijet Active Plus,2012,225000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş,4.9,45.0,0.0,1,4,Linea 1.3 Multijet Active Plus
 Adana,785000.0,Honda,Civic,1.6 i-VTEC Elegance,2012,200000.0,Düz,LPG & Benzin,Sedan,1595.0,125.0,Önden Çekiş,6.7,50.0,0.0,0,6,Civic 1.6 i-VTEC Elegance
 Adana,680000.0,Ford,Fiesta,1.5 TDCi Titanium,2013,141000.0,Düz,Dizel,Hatchback/5,1498.0,75.0,Önden Çekiş,3.7,42.0,0.0,1,0,Fiesta 1.5 TDCi Titanium
 Adana,830000.0,Opel,Astra,1.3 CDTI Sport,2012,138000.0,Düz,Dizel,Hatchback/5,1248.0,95.0,Önden Çekiş,4.1,56.0,0.0,0,0,Astra 1.3 CDTI Sport
 Adana,485000.0,Volkswagen,Passat,1.6 FSi Comfortline,2006,312000.0,Düz,LPG & Benzin,Station wagon,1598.0,115.0,Önden Çekiş,7.6,70.0,0.0,2,6,Passat 1.6 FSi Comfortline
 Adana,315000.0,Seat,Ibiza,1.4 Stella,2004,235000.0,Düz,LPG & Benzin,Hatchback/5,1390.0,75.0,Önden Çekiş,6.4,45.0,0.0,1,3,Ibiza 1.4 Stella
 Adana,880000.0,Volvo,S60,1.6 D Advance,2014,295000.0,Yarı Otomatik,Dizel,Sedan,1560.0,115.0,Önden Çekiş,4.1,67.0,0.0,3,1,S60 1.6 D Advance
 Adana,1170000.0,Toyota,Corolla,1.6 Life,2018,72000.0,Düz,Benzin,Sedan,1598.0,132.0,Önden Çekiş,6.3,55.0,0.0,0,0,Corolla 1.6 Life
 Adana,230000.0,Citroen,Saxo,1.4 SX,2000,300000.0,Düz,LPG & Benzin,Hatchback/5,1360.0,76.0,Önden Çekiş,6.8,45.0,0.0,0,0,Saxo 1.4 SX
 Adana,285000.0,Ford,Fiesta,1.25 Flair,2000,231000.0,Düz,LPG & Benzin,Hatchback/5,1753.0,60.0,Önden Çekiş,6.1,42.0,0.0,0,0,Fiesta 1.25 Flair
 Adana,292500.0,Hyundai,Accent,1.5 GLS,2001,253000.0,Düz,LPG & Benzin,Hatchback/5,1495.0,102.0,Önden Çekiş,6.9,45.0,800.0,0,0,Accent 1.5 GLS
