marka,model_tam,yil,km,fiyat,renk,sehir,ilce,satici_tipi,seri,trim
Alfa Romeo,Giulietta 1.6 JTD Progression Plus,2015,240.0,645.000 TL,Gri,İstanbul,Maltepe,Sahibinden,Giulietta,1.6 JTD Progression Plus
Alfa Romeo,Giulietta 1.6 JTD Super TCT,2017,171.0,1.135.000 TL,Beyaz,Isparta,Merkez,Galeriden,Giulietta,1.6 JTD Super TCT
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2014,292.0,665.000 TL,Siyah,İstanbul,Bağcılar,Galeriden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.4 TB Progression Plus,2012,270.0,715.000 TL,Beyaz,Konya,Karatay,Galeriden,Giulietta,1.4 TB Progression Plus
Alfa Romeo,156 1.6 TS,2001,303.0,140.000 TL,Gümüş Gri,Malatya,Yeşilyurt,Sahibinden,156,1.6 TS
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2013,269.0,699.000 TL,Siyah,Ankara,Akyurt,Galeriden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,156 1.6 TS Distinctive,2004,264.0,399.750 TL,Siyah,Ankara,Keçiören,Galeriden,156,1.6 TS Distinctive
Alfa Romeo,159 1.9 JTD Distinctive,2007,242.0,610.000 TL,Gümüş Gri,Bursa,Osmangazi,Sahibinden,159,1.9 JTD Distinctive
Alfa Romeo,Giulietta 1.6 JTD Super TCT,2016,173.0,1.200.000 TL,Beyaz,Ankara,Gölbaşı,Sahibinden,Giulietta,1.6 JTD Super TCT
Alfa Romeo,156 2.0 TS Selespeed,2000,355.0,489.000 TL,Yeşil,Bursa,İnegöl,Galeriden,156,2.0 TS Selespeed
Alfa Romeo,156 1.6 TS Distinctive,2006,297.3,340.000 TL,Bej,İzmir,Buca,Sahibinden,156,1.6 TS Distinctive
Alfa Romeo,156 1.6 TS Distinctive,2005,286.0,375.000 TL,Gümüş Gri,Malatya,Yeşilyurt,Galeriden,156,1.6 TS Distinctive
Alfa Romeo,147 1.9 JTD Q2,2007,281.5,580.000 TL,Siyah,İzmir,Gaziemir,Sahibinden,147,1.9 JTD Q2
Alfa Romeo,147 2.0 TS Distinctive,2003,208.611,635.000 TL,Siyah,İstanbul,Sancaktepe,Galeriden,147,2.0 TS Distinctive
Alfa Romeo,Giulietta 1.6 JTD Progression Plus,2012,239.0,710.000 TL,Beyaz,Ankara,Keçiören,Sahibinden,Giulietta,1.6 JTD Progression Plus
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2014,230.0,700.000 TL,Beyaz,İstanbul,Güngören,Sahibinden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,156 1.6 TS,2001,245.0,300.000 TL,Gümüş Gri,Konya,Selçuklu,Sahibinden,156,1.6 TS
Alfa Romeo,156 2.0 TS,2002,169.0,205.000 TL,Beyaz,Muğla,Milas,Sahibinden,156,2.0 TS
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2012,202.0,845.000 TL,Kırmızı,İstanbul,Sarıyer,Sahibinden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,MiTo 1.4 T Distinctive,2009,174.0,745.000 TL,Mavi,Kocaeli,Gölcük,Sahibinden,MiTo,1.4 T Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2011,370.0,559.000 TL,Beyaz,Kocaeli,İzmit,Sahibinden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,MiTo 1.3 JTD City,2013,218.25,574.900 TL,Beyaz,İstanbul,Ataşehir,Galeriden,MiTo,1.3 JTD City
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2013,192.0,789.900 TL,Kırmızı,İstanbul,Ümraniye,Galeriden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2011,301.0,665.000 TL,Beyaz,Gaziantep,Şehitkamil,Galeriden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2011,300.0,610.000 TL,Siyah,Ankara,Akyurt,Galeriden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,147 1.6 TS Distinctive,2006,115.0,730.000 TL,Siyah,İstanbul,Bakırköy,Sahibinden,147,1.6 TS Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2015,177.0,765.900 TL,Beyaz,Bursa,Nilüfer,Galeriden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.6 JTD Super TCT,2018,80.2,1.359.000 TL,Gri,İstanbul,Ümraniye,Sahibinden,Giulietta,1.6 JTD Super TCT
Alfa Romeo,GT 2.0 JTS Dis.Selespeed,2006,266.0,440.000 TL,Gri,İstanbul,Sarıyer,Galeriden,GT,2.0 JTS Dis.Selespeed
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2012,42.0,1.190.000 TL,Beyaz,Bursa,Nilüfer,Galeriden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,Giulietta 1.6 JTD Progression Plus,2014,183.5,850.000 TL,Beyaz,İstanbul,Esenyurt,Sahibinden,Giulietta,1.6 JTD Progression Plus
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2012,171.653,695.000 TL,Siyah,İstanbul,Başakşehir,Galeriden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,Giulietta 1.4 TB Progression Plus,2014,282.0,589.000 TL,Beyaz,Ankara,Yenimahalle,Galeriden,Giulietta,1.4 TB Progression Plus
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2011,240.0,810.000 TL,Beyaz,Bursa,Osmangazi,Galeriden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2014,199.0,630.000 TL,Beyaz,Hatay,Arsuz,Sahibinden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.4 TB MultiAir Distinctive,2011,226.0,935.000 TL,Beyaz,Bursa,İnegöl,Sahibinden,Giulietta,1.4 TB MultiAir Distinctive
Alfa Romeo,159 1.9 JTD Distinctive Plus,2009,264.0,789.900 TL,Beyaz,İstanbul,Bahçelievler,Galeriden,159,1.9 JTD Distinctive Plus
Alfa Romeo,156 1.6 TS Distinctive,2006,270.0,325.000 TL,Gümüş Gri,Tekirdağ,Marmaraereğlisi,Galeriden,156,1.6 TS Distinctive
Alfa Romeo,156 1.6 TS,1999,318.0,175.000 TL,Gümüş Gri,Ankara,Sincan,Galeriden,156,1.6 TS
Alfa Romeo,159 1.8 MPI Distinctive,2008,269.75,557.000 TL,Gümüş Gri,Antalya,Muratpaşa,Galeriden,159,1.8 MPI Distinctive
Alfa Romeo,MiTo 1.3 JTD City,2013,218.25,489.000 TL,Beyaz,Ankara,Sincan,Galeriden,MiTo,1.3 JTD City
Alfa Romeo,156 2.0 TS,1999,176.0,349.000 TL,Gümüş Gri,Sakarya,Serdivan,Sahibinden,156,2.0 TS
Alfa Romeo,147 1.6 TS Distinctive,2008,240.0,330.000 TL,Siyah,Gaziantep,Şehitkamil,Sahibinden,147,1.6 TS Distinctive
Alfa Romeo,MiTo 1.4 T Distinctive,2011,148.05,825.000 TL,Beyaz,İzmir,Menemen,Sahibinden,MiTo,1.4 T Distinctive
Alfa Romeo,156 1.6 TS Distinctive,2004,225.0,389.750 TL,Bordo,Ankara,Keçiören,Galeriden,156,1.6 TS Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2012,178.0,645.000 TL,Kırmızı,Siirt,Merkez,Galeriden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2013,195.0,689.950 TL,Kırmızı,İstanbul,Esenyurt,Galeriden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,Giulietta 1.6 JTD Sprint,2020,91.0,1.359.000 TL,Beyaz,Bursa,Osmangazi,Galeriden,Giulietta,1.6 JTD Sprint
Alfa Romeo,Giulietta 1.6 JTD Progression,2016,209.256,825.000 TL,Beyaz,Adana,Seyhan,Galeriden,Giulietta,1.6 JTD Progression
Alfa Romeo,Giulietta 1.6 JTD Super TCT,2018,103.358,1.269.000 TL,Beyaz,İzmir,Gaziemir,Galeriden,Giulietta,1.6 JTD Super TCT
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2013,133.0,920.000 TL,Kırmızı,Gaziantep,Şehitkamil,Galeriden,Giulietta,1.6 JTD Distinctive
Alfa Romeo,156 2.0 JTS Distinctive,2004,300.0,350.000 TL,Siyah,İzmir,Aliağa,Galeriden,156,2.0 JTS Distinctive
Alfa Romeo,156 2.0 TS Selespeed SR,2001,335.0,425.000 TL,Lacivert,İzmir,Buca,Sahibinden,156,2.0 TS Selespeed SR
Alfa Romeo,156 2.0 TS,1998,320.0,200.000 TL,Gri,Sinop,Gerze,Sahibinden,156,2.0 TS
Alfa Romeo,159 1.9 JTS Distinctive,2006,286.0,589.000 TL,Gümüş Gri,Afyonkarahisar,Merkez,Sahibinden,159,1.9 JTS Distinctive
Alfa Romeo,159 1.9 JTD Distinctive Plus,2007,477.0,550.000 TL,Siyah,Iğdır,Merkez,Sahibinden,159,1.9 JTD Distinctive Plus
