baslik,konum,fiyat,ilan_tarihi,marka,seri,trim,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,cekis,arac_durumu,ortalama_yakit_tuketimi,yakit_deposu,boya_degisen,takasa_uygun,kimden,tramer,model_tam
2022 MEGANE 1.3 TCE 140 HP JOY COMFORT EDC SERVİS BAKIMLI İLK EL,"Yeni Mh. Sarıçam, Adana",1.169.000 TL,21 Ağustos 2025,Renault,Megane,1.3 TCe Joy Comfort,2022,124.000 km,Otomatik,Benzin,Sedan,Beyaz,1201 - 1400 cm3,126 - 150 HP,Önden Çekiş,İkinci El,,,1 değişen,Takasa Uygun,Galeriden,71300.0,Megane 1.3 TCe Joy Comfort
2022 SKODA OCTAVİA 1.0 E-TEC ELİTE DSG SERVİS BAKIMLI İLK EL,"Yeni Mh. Sarıçam, Adana",1.520.000 TL,21 Ağustos 2025,Skoda,Octavia,1.0 e-Tec Elite,2022,99.000 km,Otomatik,Hibrit,Sedan,Gri,1201 - 1400 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,1 boyalı,Takasa Uygun,Galeriden,56060.0,Octavia 1.0 e-Tec Elite
Sahibinden HATASIZ BOYASIZ Peugeot 207,"Cemalpaşa Mh. Seyhan, Adana",469.999 TL,19 Ağustos 2025,Peugeot,207,1.4 Trendy,2009,207.500 km,Düz,LPG & Benzin,Hatchback/5,Gri,1360 cc,91 hp,Önden Çekiş,İkinci El,"6,3 lt",50 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,,207 1.4 Trendy
BEY CLASS'TAN AUDİ A4 QUATRO S-TRONİC 177 HP DÜŞÜK KM,"Yeşiloba Mh. Seyhan, Adana",1.150.000 TL,19 Ağustos 2025,Audi,A4,A4 Sedan 2.0 TDI Quattro,2013,219.000 km,Otomatik,Dizel,Sedan,Beyaz,1801 - 2000 cm3,176 - 200 HP,4WD (Sürekli),İkinci El,,,"1 değişen, 4 boyalı",Takasa Uygun,Galeriden,,A4 A4 Sedan 2.0 TDI Quattro
BEY CLASS'TAN BMW 520İ/LONG/HAYALET//NBT/K ISITMA/MAKAM/BOYASIZ,"Yeşiloba Mh. Seyhan, Adana",1.359.000 TL,19 Ağustos 2025,BMW,5 Serisi,520Li,2013,335.000 km,Otomatik,Benzin,Sedan,Beyaz,1801 - 2000 cm3,176 - 200 HP,Arkadan İtiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,,5 Serisi 520Li
2021 TOYOTA COROLLA 1.5 DREAM HATASIZ BOYASIZ LPG'Lİ,"Yeşiloba Mh. Seyhan, Adana",1.430.000 TL,19 Ağustos 2025,Toyota,Corolla,1.5 Dream,2021,63.000 km,Otomatik,Benzin,Sedan,Beyaz,1490 cc,125 hp,Önden Çekiş,İkinci El,"5,8 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,Corolla 1.5 Dream
Galeriden Peugeot 206 1.6 CC 2003 Model Adana,"Yeşiloba Mh. Seyhan, Adana",375.000 TL,19 Ağustos 2025,Peugeot,206,1.6 CC,2003,249.000 km,Düz,Benzin,-,Mavi,1587 cc,110 hp,Önden Çekiş,İkinci El,"6,9 lt",47 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,206 1.6 CC
Galeriden Peugeot 207 1.4 HDi Trendy 2007 Model Adana,"Akçatekir Mh. Pozantı, Adana",456.000 TL,16 Ağustos 2025,Peugeot,207,1.4 HDi Trendy,2007,226.000 km,Düz,Dizel,Hatchback/3,Gri,1398 cc,69 hp,Önden Çekiş,İkinci El,"4,5 lt",50 lt,1 boyalı,Takasa Uygun Değil,Galeriden,,207 1.4 HDi Trendy
2021 COROLLA 1.5DREAM HATASIZBOYASIZ 18 BİNKM EŞSİZ TEMİZLİKTE,"Yeşiloba Mh. Seyhan, Adana",1.465.000 TL,16 Ağustos 2025,Toyota,Corolla,1.5 Dream,2021,18.000 km,Otomatik,Benzin,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,,Corolla 1.5 Dream
Galeriden Volkswagen Golf 1.4 TSi Highline 2013 Model Adana,"Karacaoğlan Mh. Yüreğir, Adana",975.000 TL,16 Ağustos 2025,Volkswagen,Golf,1.4 TSi Highline,2013,228.000 km,Yarı Otomatik,Benzin,Hatchback/5,Siyah,1395 cc,122 hp,Önden Çekiş,İkinci El,5 lt,50 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Galeriden,4.0,Golf 1.4 TSi Highline
